rtt;msec
0.173;174.870
Pacotes enviados:1
Pacotes retransmitidos:1
Pacotes confirmados:1

Envio: 0
rtt;msec
0.143;218.567
0.303;240.297
0.508;246.904
0.695;243.400
0.845;233.403
0.973;219.479
1.146;203.384
1.303;186.383
1.443;169.338
1.462;152.891
1.424;137.394
1.364;123.020
0.390;110.516
0.141;99.056
0.374;88.269
0.622;78.257
0.809;69.121
0.960;60.877
1.097;53.492
1.251;46.893
1.401;41.023
1.042;36.202
0.113;32.636
0.483;29.002
0.311;25.856
0.463;22.878
0.616;20.109
0.158;18.026
0.503;15.842
0.408;14.001
0.620;12.208
0.820;10.520
0.743;9.167
0.930;7.875
1.116;6.671
1.080;5.734
1.012;5.025
0.139;5.089
1.077;4.273
0.334;4.194
0.487;3.908
0.424;3.660
0.582;3.278
0.130;3.282
0.424;2.965
0.510;2.614
0.694;2.179
0.594;1.923
0.723;1.628
0.874;1.557
1.052;1.667
1.194;1.862
1.372;2.147
1.348;2.286
1.277;2.277
0.154;2.586
0.473;2.473
0.130;2.594
0.261;2.498
0.429;2.239
0.599;1.885
0.745;1.673
0.884;1.643
1.055;1.771
0.074;2.007
0.342;1.900
0.137;1.935
0.244;1.822
0.447;1.546
0.607;1.387
0.735;1.386
0.909;1.539
1.020;1.731
1.153;1.968
1.191;2.135
0.164;2.247
0.579;1.944
0.855;1.804
0.621;1.588
0.565;1.458
0.716;1.303
0.621;1.192
0.721;1.110
0.880;1.204
0.159;1.487
0.498;1.378
0.775;1.345
1.081;1.611
0.990;1.678
1.138;1.848
1.269;2.069
1.160;2.080
0.983;1.881
0.841;1.675
0.133;2.045
0.560;1.907
0.785;1.642
1.023;1.679
1.215;1.875
1.017;1.785
1.156;1.841
1.042;1.742
0.997;1.611
0.931;1.443
0.905;1.336
0.209;1.775
0.772;1.592
1.157;1.728
1.279;1.921
1.218;1.967
1.536;2.291
1.041;1.986
1.383;2.098
0.154;2.534
0.452;2.523
0.665;2.291
0.508;2.206
0.673;1.973
0.875;1.751
0.146;2.017
0.124;2.150
0.358;1.998
0.584;1.678
0.733;1.532
0.892;1.570
1.020;1.701
1.163;1.910
1.319;2.179
1.455;2.465
0.141;2.653
0.504;2.426
0.792;2.030
0.703;1.773
0.906;1.659
1.102;1.758
1.337;2.036
1.531;2.392
1.733;2.800
1.944;3.245
2.129;3.682
2.064;3.855
2.012;3.861
1.994;3.789
1.968;3.659
1.939;3.492
1.934;3.329
1.937;3.182
1.590;2.897
1.472;2.758
1.425;2.661
1.347;2.618
1.273;2.605
1.197;2.612
0.171;3.342
0.491;3.482
0.324;3.606
0.122;3.736
0.426;3.480
0.381;3.251
0.322;3.055
0.483;2.720
0.655;2.301
0.788;1.959
0.936;1.845
1.067;1.873
1.223;2.023
0.116;2.289
0.583;2.046
0.599;1.829
0.778;1.605
0.925;1.580
1.090;1.708
1.211;1.894
1.241;2.024
1.404;2.248
1.559;2.524
1.479;2.595
1.444;2.571
1.410;2.487
0.155;2.919
0.459;2.888
0.891;2.468
0.763;2.239
0.976;1.953
0.949;1.709
1.057;1.632
1.174;1.681
1.329;1.852
1.471;2.090
1.615;2.371
1.714;2.631
1.673;2.732
1.630;2.722
1.591;2.642
0.141;3.230
0.133;3.525
0.337;3.460
0.529;3.176
0.697;2.780
0.877;2.321
1.055;2.127
1.188;2.100
1.308;2.173
0.175;2.490
0.509;2.375
0.343;2.366
0.516;2.167
0.678;1.863
0.849;1.693
1.004;1.710
0.964;1.659
1.107;1.747
0.131;2.055
0.398;1.998
0.364;1.935
0.300;1.893
0.451;1.702
0.630;1.457
0.829;1.469
1.035;1.663
0.159;1.810
0.092;1.905
0.248;1.794
0.499;1.485
0.727;1.457
0.893;1.582
1.066;1.815
1.207;2.086
0.135;2.177
0.438;1.946
0.305;1.846
0.428;1.641
0.174;1.658
0.169;1.627
0.410;1.381
0.628;1.318
0.992;1.620
1.220;2.026
1.424;2.471
1.659;2.966
1.877;3.467
2.101;3.971
2.049;4.191
1.990;4.209
1.842;4.004
1.744;3.704
1.700;3.402
1.170;3.142
0.153;3.673
0.510;3.643
0.723;3.366
0.510;3.262
0.641;3.009
0.798;2.651
0.966;2.232
0.173;2.513
Pacotes enviados:256
Pacotes retransmitidos:69
Pacotes confirmados:256

Envio: 1
rtt;msec
0.106;2.674
0.251;2.591
0.449;2.314
0.685;1.914
0.881;1.809
1.108;1.938
1.278;2.166
1.419;2.430
1.417;2.569
1.374;2.581
1.275;2.453
1.209;2.266
0.930;2.066
0.110;2.515
0.403;2.515
0.699;2.226
0.627;2.043
0.767;1.774
0.743;1.584
0.883;1.469
1.079;1.572
1.434;1.979
1.636;2.431
1.821;2.887
1.812;3.145
1.811;3.271
1.590;3.087
1.559;2.889
1.178;2.628
0.980;2.560
1.116;2.364
0.123;2.941
0.515;2.937
0.920;2.556
0.744;2.386
1.005;2.051
0.962;1.810
1.122;1.737
1.243;1.791
0.139;2.275
0.067;2.580
0.478;2.393
0.702;2.042
0.872;1.830
1.038;1.826
1.201;1.963
1.364;2.191
0.135;2.465
0.449;2.336
0.713;1.995
0.750;1.703
0.930;1.632
1.136;1.770
1.316;2.020
1.487;2.333
1.465;2.491
1.644;2.741
1.779;3.005
1.936;3.298
2.113;3.624
2.056;3.734
2.071;3.769
2.069;3.737
2.067;3.661
2.084;3.579
2.081;3.476
1.995;3.278
1.989;3.102
2.059;3.022
2.075;2.955
1.615;2.882
1.357;2.988
1.227;3.103
1.209;3.134
1.113;3.166
1.056;3.166
1.012;3.133
0.160;3.684
0.504;3.677
1.143;3.095
1.088;2.693
0.910;2.512
0.904;2.348
1.078;2.065
1.235;1.953
1.454;2.076
1.668;2.351
1.942;2.784
1.715;2.815
0.164;3.355
0.460;3.388
0.378;3.380
0.556;3.147
0.719;2.791
0.652;2.542
0.772;2.231
0.933;1.941
1.062;1.849
1.181;1.882
0.120;2.269
0.484;2.182
0.447;2.100
0.606;1.875
0.707;1.612
0.852;1.512
0.985;1.558
0.970;1.556
1.049;1.615
1.015;1.602
0.097;1.984
0.361;1.977
0.156;2.076
0.128;2.102
0.374;1.873
0.607;1.598
0.838;1.618
1.032;1.800
1.220;2.084
1.396;2.419
1.673;2.884
1.843;3.322
1.762;3.481
1.662;3.432
1.583;3.266
1.310;2.831
0.162;3.249
0.547;3.137
0.445;3.060
0.633;2.786
0.806;2.410
1.007;2.132
1.208;2.116
1.360;2.229
1.247;2.162
1.373;2.216
1.095;1.948
1.040;1.762
0.985;1.659
0.161;2.189
0.431;2.270
0.338;2.336
0.248;2.384
0.376;2.253
0.502;2.014
0.641;1.706
0.144;1.843
0.544;1.579
0.486;1.418
0.691;1.317
0.887;1.426
1.113;1.708
1.346;2.107
1.237;2.236
1.437;2.489
1.610;2.796
1.540;2.890
1.481;2.850
1.400;2.701
1.283;2.445
0.105;2.923
0.392;2.933
0.163;3.032
0.171;3.002
0.354;2.756
0.517;2.397
0.653;2.001
0.825;1.810
0.976;1.805
1.126;1.925
1.290;2.143
1.230;2.200
0.107;2.467
0.485;2.286
0.406;2.169
0.563;1.920
0.493;1.767
0.630;1.523
0.778;1.421
0.923;1.479
1.087;1.664
0.109;1.923
0.480;1.759
0.766;1.596
0.757;1.455
0.920;1.503
1.099;1.695
1.408;2.112
1.377;2.333
1.542;2.612
1.707;2.927
1.906;3.295
1.849;3.436
1.777;3.407
1.713;3.273
